threshold	CafePMNets edge count	R2
1.0	24280	0.8936520571664734
1.5	24280	0.8936520571664734
2.0	24237	0.8949536934307685
2.5	24115	0.898922308410016
3.0	23899	0.9037883199064081
3.5	23480	0.9099075298665973
4.0	22702	0.9031504379719184
4.5	21775	0.9078456087777913
5.0	20493	0.8833552178357834
5.5	18736	0.8896138286484508
6.0	17672	0.9076544890789049
6.5	16738	0.8795822462017664
7.0	16137	0.8723187545657228
7.5	15703	0.8693802178549574
8.0	15369	0.8720998539886445
8.5	15108	0.8517284343251347
9.0	14890	0.8653131301578088
