threshold	CafePMNets edge count	joint average RSS
1.0	23803	0.8285694244587705
1.5	23803	0.8285694244587705
2.0	23761	0.8287668950622633
2.5	23641	0.8292263451665303
3.0	23432	0.8298753230801178
3.5	23024	0.8310987685864513
4.0	22256	0.8326500915166292
4.5	21335	0.8342318658308506
5.0	20068	0.8362237097874189
5.5	18321	0.8370453822161695
6.0	17267	0.837414035670467
6.5	16340	0.8369537851465836
7.0	15744	0.8368266474971326
7.5	15311	0.8364867389204441
8.0	14981	0.8362084321627664
8.5	14725	0.8356510041207267
9.0	14510	0.8353666899353485
