threshold	MMIN edge count	R2
1.0	49853	0.8583048599597841
1.5	45640	0.8538882735313188
2.0	40760	0.8664012373287195
2.5	35601	0.8658158967625897
3.0	30675	0.8703595744278187
3.5	26081	0.860289688203663
4.0	21728	0.8456144935212292
4.5	17821	0.8718671169258662
5.0	14607	0.8927589321358386
5.5	11878	0.8769593438675922
6.0	9527	0.875545634822748
6.5	7632	0.8850885603295255
7.0	6160	0.8728062121976466
7.5	5001	0.8986573830293554
8.0	4108	0.8845473503143838
8.5	3372	0.8384483155459674
9.0	2841	0.8488201732141163
