threshold	MMIN edge count	joint average RSS
1.0	49840	0.8009321698904537
1.5	45628	0.8038932874908835
2.0	40749	0.8073523932357499
2.5	35590	0.811077117158346
3.0	30664	0.8146122411179084
3.5	26071	0.8181198262302682
4.0	21718	0.821951557280703
4.5	17813	0.8256459922716682
5.0	14600	0.828545278548696
5.5	11871	0.8305836240514285
6.0	9520	0.8327316074104206
6.5	7625	0.8338785800398224
7.0	6153	0.8343381350155187
7.5	4994	0.834747033183909
8.0	4101	0.8360220042879628
8.5	3365	0.8364063976294036
9.0	2834	0.8364742246678464
